i,Naive,Preprocess,D&C,Dynamic
245000,0,0,88787,244742
246000,0,0,97635,244080
247000,0,0,209222,270446
248000,0,0,168318,252205
249000,0,0,181973,257817
250000,0,0,160520,244750
251000,0,0,76104,248410
252000,0,0,92739,253876
253000,0,0,83799,251750
254000,0,0,128251,256647
255000,0,0,89493,252868
256000,0,0,94407,255880
257000,0,0,83554,257525
258000,0,0,106733,257363
259000,0,0,247755,286548
260000,0,0,305693,262830
261000,0,0,441701,310858
262000,0,0,522888,282843
263000,0,0,798332,359622
264000,0,0,425702,307836
265000,0,0,354764,275017
266000,0,0,267337,265403
267000,0,0,197863,279398
268000,0,0,217603,267804
269000,0,0,213122,275499
270000,0,0,188922,267555
271000,0,0,215303,269928
272000,0,0,225439,271058
273000,0,0,309009,279262
274000,0,0,287001,280280
275000,0,0,257049,276515
276000,0,0,293332,297707
277000,0,0,526914,282630
278000,0,0,377545,283060
279000,0,0,368409,281464
280000,0,0,376969,280884
281000,0,0,327170,280881
282000,0,0,494010,328427
283000,0,0,545090,348364
284000,0,0,655048,308181
285000,0,0,460226,307796
286000,0,0,420182,289255
287000,0,0,380153,291694
288000,0,0,450731,289145
289000,0,0,415615,293011
290000,0,0,425267,291782
291000,0,0,586714,293746
292000,0,0,565996,354629
293000,0,0,621056,300595
294000,0,0,628325,291626
295000,0,0,470565,292986
296000,0,0,485803,294916
297000,0,0,487721,313778
298000,0,0,646231,314409
299000,0,0,559207,300884
300000,0,0,555288,304153
301000,0,0,556861,305921
302000,0,0,578169,302714
303000,0,0,510697,303418
304000,0,0,531340,300780
305000,0,0,554245,301428
306000,0,0,559016,307386
307000,0,0,570078,309272
308000,0,0,580811,304909
309000,0,0,595488,308861
310000,0,0,588868,326239
311000,0,0,678233,318694
312000,0,0,738485,333892
313000,0,0,630577,313179
314000,0,0,657407,316998
315000,0,0,663377,318451
316000,0,0,732247,328906
317000,0,0,916054,322752
318000,0,0,694432,320931
319000,0,0,692597,314880
320000,0,0,691263,321529
321000,0,0,686506,319880
322000,0,0,740023,347792
323000,0,0,735064,319667
324000,0,0,711189,322885
325000,0,0,735766,323346
326000,0,0,823680,373695
327000,0,0,147694,326961
328000,0,0,170392,343622
329000,0,0,58598,372518
330000,0,0,348796,346043
331000,0,0,59294,370176
332000,0,0,122570,366940
333000,0,0,737993,359262
334000,0,0,442146,500326
335000,0,0,674304,384666
336000,0,0,310936,377955
337000,0,0,64638,382847
338000,0,0,207495,358668
339000,0,0,929896,340949
340000,0,0,14857,345068
341000,0,0,314775,361037
342000,0,0,229832,364206
343000,0,0,216383,402699
344000,0,0,144466,364537
345000,0,0,105216,398447
346000,0,0,50339,362337
347000,0,0,36428,374843
348000,0,0,942544,355846
349000,0,0,44636,351313
350000,0,0,904106,353799
351000,0,0,85587,397916
352000,0,0,35106,348708
353000,0,0,963389,354134
354000,0,0,965013,352594
355000,0,0,6743,352261
356000,0,0,83540,387253
357000,0,0,265551,357734
358000,0,0,161,368759
359000,0,0,17766,359643
360000,0,0,6337,360607
361000,0,0,75321,363603
362000,0,0,34506,359019
363000,0,0,99109,386658
364000,0,0,361154,414163
365000,0,0,770056,496189
366000,0,0,496934,400990
367000,0,0,410559,395388
368000,0,0,187352,399456
369000,0,0,592763,440217
370000,0,0,398951,392263
371000,0,0,207357,415520
372000,0,0,557419,416692
373000,0,0,544234,394148
374000,0,0,373639,397080
375000,0,0,372107,415953
376000,0,0,457377,403889
377000,0,0,404969,417589
378000,0,0,418155,403843
379000,0,0,362624,406097
380000,0,0,476048,406578
381000,0,0,630821,427226
382000,0,0,520765,416146
383000,0,0,522604,419146
384000,0,0,559083,436869
385000,0,0,499192,408027
386000,0,0,488147,419817
387000,0,0,594397,442365
388000,0,0,631271,434013
389000,0,0,653720,424638
390000,0,0,576698,439726
391000,0,0,603917,421943
392000,0,0,537394,419372
393000,0,0,576412,420865
394000,0,0,558235,419838
395000,0,0,599815,437578
396000,0,0,652207,417945
397000,0,0,593080,419566
398000,0,0,581180,446938
399000,0,0,713992,438177
400000,0,0,682694,441357
401000,0,0,845823,441385
402000,0,0,763548,440709
403000,0,0,746966,428285
404000,0,0,687376,433051
405000,0,0,639440,429416
406000,0,0,655944,438043
407000,0,0,674650,439967
408000,0,0,752968,458040
409000,0,0,757448,463536
410000,0,0,764690,462037
411000,0,0,791227,438568
412000,0,0,767750,451684
413000,0,0,855388,440116
414000,0,0,746857,441181
415000,0,0,812842,453397
416000,0,0,789403,450281
417000,0,0,736426,446017
418000,0,0,795190,448400
419000,0,0,742255,442468
420000,0,0,756512,447981
421000,0,0,802826,472937
422000,0,0,846818,478994
423000,0,0,982268,446731
424000,0,0,778758,456675
425000,0,0,818260,448601
426000,0,0,858061,463474
427000,0,0,30641,480815
428000,0,0,942117,484477
429000,0,0,89765,472184
430000,0,0,967676,483447
431000,0,0,76964,480132
432000,0,0,947958,477413
433000,0,0,51885,486419
434000,0,0,119895,466735
435000,0,0,101131,480095
436000,0,0,54846,474206
437000,0,0,121421,502279
438000,0,0,104431,489977
439000,0,0,100054,497358
440000,0,0,61391,488907
441000,0,0,137753,482820
442000,0,0,159446,492278
443000,0,0,185599,492796
444000,0,0,114389,508131
445000,0,0,235501,516680
446000,0,0,242793,498857
447000,0,0,19679,476094
448000,0,0,84492,473484
449000,0,0,977580,472999
450000,0,0,74133,479968
451000,0,0,21716,475949
452000,0,0,35693,473424
453000,0,0,35100,486685
454000,0,0,38858,475894
455000,0,0,86019,483102
456000,0,0,352417,511620
457000,0,0,305143,539854
458000,0,0,583862,499835
459000,0,0,223025,488489
460000,0,0,226748,489172
461000,0,0,169506,485927
462000,0,0,349955,541971
463000,0,0,354372,523366
464000,0,0,415254,513404
465000,0,0,397147,500150
466000,0,0,317340,493614
467000,0,0,309431,508429
468000,0,0,342306,519485
469000,0,0,311939,506905
470000,0,0,338501,504376
471000,0,0,237869,504309
472000,0,0,277550,509982
473000,0,0,314364,519989
474000,0,0,379972,516513
475000,0,0,355286,508607
476000,0,0,348395,517416
477000,0,0,426526,517569
478000,0,0,340651,511076
479000,0,0,333275,518483
480000,0,0,486362,551764
481000,0,0,537062,531551
482000,0,0,424843,525684
483000,0,0,437861,536434
484000,0,0,432975,525864
485000,0,0,426112,528750
486000,0,0,461833,532939
487000,0,0,411445,534340
488000,0,0,497669,536970
489000,0,0,484863,538249
490000,0,0,542515,523682
491000,0,0,427936,524746
492000,0,0,449682,535898
493000,0,0,484616,534303
494000,0,0,499581,540323
495000,0,0,565649,540656
496000,0,0,555308,552239
497000,0,0,586020,552598
498000,0,0,578328,535350
499000,0,0,525408,538247
500000,0,0,603724,529268
501000,0,0,544498,538585
502000,0,0,690070,569580
503000,0,0,724245,557405
504000,0,0,677551,550524
505000,0,0,680927,559608
506000,0,0,648897,556449
507000,0,0,805013,551843
508000,0,0,766441,562576
509000,0,0,772090,565876
510000,0,0,778489,559641
511000,0,0,702035,550319
512000,0,0,670659,552320
513000,0,0,642037,549764
514000,0,0,756476,548227
515000,0,0,732998,551141
516000,0,0,829214,604120
517000,0,0,356397,600348
518000,0,0,205452,573922
519000,0,0,882811,570055
520000,0,0,873653,576477
521000,0,0,938336,573961
522000,0,0,865784,564805
523000,0,0,815439,566132
524000,0,0,899976,568859
525000,0,0,6088,601135
526000,0,0,998781,592119
527000,0,0,946455,580006
528000,0,0,992969,601511
529000,0,0,132522,593026
530000,0,0,71719,596175
531000,0,0,22908,591279
532000,0,0,72705,597367
533000,0,0,152219,592251
534000,0,0,275679,594748
535000,0,0,135105,610938
536000,0,0,273397,601733
537000,0,0,437461,654858
